"price","address","squares","type","year","age","bed","bath","tax","fee"
"$938,000","607 4083 Cambie Street, Vancouver West, BC","913 sq.ft.","Residential, Condo","2017","1","2","2","$2,737",NA
"$936,000","3509 6658 Dow Avenue, Burnaby, BC","904 sq.ft.","Residential, Condo","2014","4","2","2","$2,830",NA
"$935,000","3127 Frey Place, Port Coquitlam, BC","2,162 sq.ft.","Residential, Condo","1980","38","4","3","$2,754",NA
"$935,000","204 719 W 3rd Street, North Vancouver, BC","1,005 sq.ft.","Residential, Condo","2017","1","3","2","$2,174",NA
"$935,000","1305 6638 Dunblane Avenue, Burnaby, BC","877 sq.ft.","Residential, Condo","2018",NA,"2","2",NA,NA
"$932,000","906 1327 E Keith Road, North Vancouver, BC","1,105 sq.ft.","Residential, Condo","1992","26","2","2","$3,006",NA
"$930,000","301 5580 No 3 Road, Richmond, BC","835 sq.ft.","Residential, Condo","2018",NA,"2","2",NA,NA
"$930,000","207 3228 Tupper Street, Vancouver West, BC","998 sq.ft.","Residential, Condo","2006","12","2","2","$2,219",NA
"$930,000","1502 939 Expo Boulevard, Vancouver West, BC","881 sq.ft.","Residential, Condo","2005","13","2","2","$2,004",NA
"$929,900","1607 300 Morrissey Road, Port Moody, BC","960 sq.ft.","Residential, Condo","2021",NA,"2","2",NA,NA
"$929,900","1504 210 Salter Street, New Westminster, BC","1,228 sq.ft.","Residential, Condo","2017","1","2","2","$3,753",NA
"$929,900","1401 188 E Esplanade Avenue, North Vancouver, BC","954 sq.ft.","Residential, Condo","2008","10","2","2","$2,590",NA
"$929,000","2603 4250 Dawson Street, Burnaby, BC","1,157 sq.ft.","Residential, Condo","2008","10","3","2","$2,977",NA
"$929,000","306 10788 No 5 Road, Richmond, BC","1,093 sq.ft.","Residential, Condo","2018",NA,"3","2","$1,966",NA
"$929,000","701 251 E 7th Avenue, Vancouver East, BC","827 sq.ft.","Residential, Condo","2012","6","2","2","$2,026",NA
"$929,000","3106 1408 Strathmore Mews, Vancouver West, BC","720 sq.ft.","Residential, Condo","2003","15","1","1","$1,983",NA
"$929,000","702 995 Roche Point Drive, North Vancouver, BC","1,469 sq.ft.","Residential, Condo","1989","29","2","2","$3,457",NA
"$929,000","109 1500 Pendrell Street, Vancouver West, BC","978 sq.ft.","Residential, Condo","1979","39","2","2+1","$1,792",NA
"$928,800","2801 2345 Madison Avenue, Burnaby, BC","1,127 sq.ft.","Residential, Condo","2007","11","3","2","$2,939",NA
"$928,000","412 1635 W 3rd Avenue, Vancouver West, BC","801 sq.ft.","Residential, Condo","2010","8","2","2","$1,842",NA
"$928,000","1207 6461 Telford Avenue, Burnaby, BC","906 sq.ft.","Residential, Condo","2014","4","2","2","$2,734",NA
"$928,000","308 2105 W 42nd Avenue, Vancouver West, BC","1,033 sq.ft.","Residential, Condo","1994","24","2","2","$2,179",NA
"$928,000","Ph9 5723 Balsam Street, Vancouver West, BC","963 sq.ft.","Residential, Condo","1996","22","2","2","$1,817",NA
"$928,000","1505 7535 Alderbridge Way, Richmond, BC","1,305 sq.ft.","Residential, Condo","2007","11","3","3","$2,069",NA
"$928,000","1601 1323 Homer Street, Vancouver West, BC","966 sq.ft.","Residential, Condo","1993","25","2","1","$2,221",NA
"$928,000","6030 Woodsworth Street, Burnaby, BC","1,177 sq.ft.","Residential, Condo","2002","16","4","2","$2,212",NA
"$928,000","301 6198 Ash Street, Vancouver West, BC","1,009 sq.ft.","Residential, Condo","2002","16","2","2","$2,305",NA
"$928,000","2307 6461 Telford Avenue, Burnaby, BC","920 sq.ft.","Residential, Condo","2014","4","2","2","$3,094",NA
"$926,900","307 4488 Juneau Street, Burnaby, BC","887 sq.ft.","Residential, Condo","2021",NA,"2","2",NA,NA
"$920,000","401 1510 W 6th Avenue, Vancouver West, BC","857 sq.ft.","Residential, Condo","2018",NA,"1","1","$2,950",NA
"$920,000","1002 4880 Bennett Street, Burnaby, BC","900 sq.ft.","Residential, Condo","2013","5","2","2","$3,300",NA
"$920,000","1203 7117 Elmbridge Way, Richmond, BC","1,130 sq.ft.","Residential, Condo","2012","6","3","2","$2,656",NA
"$919,900","403 4289 Hastings Street, Burnaby, BC","995 sq.ft.","Residential, Condo","2018",NA,"2","2",NA,NA
